Id	quartile	guideScore	mfe	gq	dr	result
PPIB-81	1	0.2633006221003223	-13.3	0	0	(.(((((....((((.........)))).))))).)....((((((....))).)))....... (-13.30)
PPIB-82	1	0.18542254367159502	-13.8	0	1	..(((((....((((.........)))).))))).........((((............)))). (-13.80)
PPIB-83	2	0.2920072430481147	-13.4	0	0	........((((((......((.((....))....)).....))))))((((.....))))... (-13.40)
PPIB-85	1	0.00878969281085007	-15.9	0	0	..(((((....((((.........)))).))))).((((.((...))))))((((.....)))) (-15.90)
PPIB-86	1	0.17420346222815575	-20.5	0	0	(.(((((....((((.........)))).))))).)..(.((.((((......)))).)).).. (-20.50)
PPIB-87	1	0.24329348391932248	-33.72	1	0	(.(((((....((((.........)))).))))).)(((.+++.+++.+++...+++..))).. (-33.72)
PPIB-88	1	0.28452617443773714	-19.0	0	0	..(((((....((((.........)))).))))).(((((.(((.((....)).))).))))). (-19.00)
PPIB-89	2	0.37345835228151003	-18.09	1	1	..(((((....((((.........)))).))))).........(((...)))++.++..++.++ (-18.09)
PPIB-90	2	0.3268609965495576	-18.69	1	1	..(((((....((((.........)))).))))).....((++.++..++.++....))..... (-18.69)
PPIB-91	1	0.18449596451384692	-18.1	0	0	..(((((....((((.........)))).))))).((((.(((.(........)))).)))).. (-18.10)
PPIB-92	1	0.19363397730169557	-17.8	0	0	........................(((((..........)))))..((((((.....)))))). (-17.80)
MALAT1-0	3	0.9071657590789425	-17.8	0	0	(.(((((....((((.........)))).))))).)..((((.(((((......))))).)))) (-17.80)
MALAT1-1	2	0.4388154903812582	-11.5	0	0	(.(((((....((((.........)))).))))).).....((((.....))))(((...))). (-11.50)
MALAT1-2	2	0.31701734094330514	-10.2	0	0	(.(((((....((((.........)))).))))).).....(((((........)))))..... (-10.20)
MALAT1-3	1	0.2687106002686052	-11.7	0	1	..(((((....((((.........)))).)))))........((((((((....))))..)))) (-11.70)
MALAT1-4	3	0.7795721061941407	-9.3	0	0	...........((((.........))))..(((((.((...((........))..))))))).. ( -9.30)
MALAT1-5	4	1.4221217508727495	-12.6	0	1	..(((((....((((.........)))).))))).......((..(((......)))..))... (-12.60)
MALAT1-6	4	1.5637485297730267	-7.0	0	0	(.(((((....((((.........)))).))))).)....((.((..............)))). ( -7.00)
MALAT1-8	4	1.5971108827629723	-13.8	0	0	(.(((((....((((.........)))).))))).).((((...(((.((...)).))).)))) (-13.80)
MALAT1-9	4	1.0198281451514866	-12.9	0	0	.......(((.((((((.(((((((((........))))).))))...))).)))..))).... (-12.90)
MALAT1-10	4	1.4074644403674599	-7.4	0	0	(((((......((((.........)))).((((....))))...............)))))... ( -7.40)
MALAT1-11	3	0.9379107927323624	-7.1	0	0	(.(((((....((((.........)))).))))).)(((....))).................. ( -7.10)
MALAT1-12	2	0.43225160523430295	-9.8	0	1	..(((((....((((.........)))).)))))..........(((((..........))))) ( -9.80)
MALAT1-13	2	0.3488349581934168	-11.0	0	1	..(((((....((((.........)))).))))).....((((((.......))))..)).... (-11.00)
MALAT1-14	1	-0.3598489458669496	-8.6	0	0	....................((((((..(((((........)))))..))).)))......... ( -8.60)
MALAT1-15	2	0.41878585914605304	-7.0	0	0	....((((.............((((((((..........)))))))).............)))) ( -7.00)
MALAT1-16	3	0.8216550643714116	-9.7	0	0	.....................(((((((((((.......))))))))).))............. ( -9.70)
